subject,trial,cond,block,pos_c_x,pos_c_y,pos_s_x,pos_s_y,probeSide,opt_r,opt_g,opt_b,circle_r,circle_g,circle_b,square_r,square_g,square_b,delay,target,resp_r,resp_g,resp_b,points,2AFC_acc,stim_dis,pos_dis_c,pos_dis_s,stimuli_diff,alt_diff
999,1,3,0,-22.587,-5.8737,-7.0138,1.9412,1,-1.0,-0.1059,-0.4745,-0.6157,-0.3255,0.302,-1.0,-0.1765,0.2157,0.6562,0,-0.6157,-0.3255,0.302,8,1,17.424,23.3382,7.2775,21.6708,65.7625
999,2,3,0,-8.6252,4.2441,6.0319,13.9691,0,-0.6784,-0.1451,-1.0,-1.0,-0.2314,0.302,-1.0,-0.1059,-0.2863,0.624,0,-1.0,-0.2314,0.302,8,1,17.5899,9.6128,15.2157,36.6836,107.1471
999,3,3,0,-10.1632,-6.0391,-10.4474,7.0856,1,-1.0,-0.1059,-0.498,-0.3255,-0.2,-1.0,-0.7804,-0.1373,-1.0,0.5844,1,-1.0,-0.1059,-0.498,0,0,13.1277,11.8221,12.6235,35.3155,48.9569
999,4,3,0,-12.8255,0.6503,-22.7659,2.5025,0,0.0196,-0.3176,-1.0,0.2157,-0.4667,-0.8745,-0.6157,-0.1529,-1.0,0.6099,0,0.2157,-0.4667,-0.8745,8,1,10.1115,12.842,22.9031,70.3317,17.7078
999,5,3,0,-17.461,-0.0556,-15.6227,10.0654,1,-1.0,-0.2706,0.3176,-1.0,-0.1059,-0.3333,-0.7255,-0.3098,0.3098,0.5958,0,-1.0,-0.1059,-0.3333,8,1,10.2866,17.4611,18.5844,51.1722,42.0489
999,6,3,0,13.5661,-1.4784,-8.526,-5.9575,1,-1.0,-0.1137,-0.6078,0.2471,-0.5294,-0.4824,0.0275,-0.3255,-1.0,0.5836,1,-1.0,-0.1137,-0.6078,0,0,22.5416,13.6464,10.4012,43.0257,107.1594
999,7,3,0,11.1952,-2.1241,12.9521,-7.3873,0,0.1373,-0.5137,-0.0431,-0.2392,-0.4039,0.2314,0.1529,-0.5216,-0.0745,0.6819,0,-0.2392,-0.4039,0.2314,8,1,5.5486,11.3949,14.9107,64.677,61.071
999,8,3,0,-6.7402,1.5212,-2.5264,12.2015,1,0.1451,-0.4039,-1.0,-0.4196,-0.1843,-1.0,-0.0902,-0.2706,-1.0,0.636,0,0.1451,-0.4039,-1.0,0,0,11.4814,6.9097,12.4603,29.2042,46.0748
999,9,3,0,-21.6583,11.3345,3.3483,3.8925,0,-1.0,-0.1059,-0.4353,-1.0,-0.2078,0.2784,-1.0,-0.1059,-0.302,0.7971,0,-1.0,-0.2078,0.2784,8,1,26.0905,24.4449,5.1344,35.98,44.9273
999,10,3,0,25.5711,9.5882,-3.2484,-10.4418,1,-1.0,-0.1059,-0.5451,-1.0,-0.1216,-0.0039,-0.3333,-0.3804,0.2627,0.6293,0,-1.0,-0.1216,-0.0039,8,1,35.0966,27.3096,10.9355,57.3036,36.5603
999,11,1,1,1.2854,14.305,-8.9942,-9.4553,0,-0.0824,-0.2784,-1.0,0.2392,-0.5059,-0.6314,-0.3176,-0.2,-1.0,0.6393,0,0.2392,-0.5059,-0.6314,5,1,25.8887,14.3627,13.0499,60.1749,38.5308
