SetSize,TP, RT, Correct, Missed
8, 0, 999.000, 0, 1
8, 1, 1.576, 1, 0
8, 1, 1.072, 1, 0
8, 1, 0.778, 1, 0
8, 0, 1.084, 1, 0
8, 0, 1.437, 1, 0
8, 0, 1.110, 1, 0
8, 1, 1.180, 1, 0
8, 1, 0.882, 1, 0
8, 0, 1.108, 1, 0
5, 1, 1.082, 1, 0
5, 0, 1.063, 1, 0
5, 1, 1.411, 1, 0
5, 0, 1.233, 1, 0
5, 0, 1.186, 1, 0
5, 1, 0.978, 1, 0
5, 1, 0.922, 1, 0
5, 1, 0.717, 1, 0
5, 0, 1.218, 1, 0
5, 0, 1.393, 1, 0
12, 1, 1.390, 1, 0
12, 0, 1.467, 1, 0
12, 0, 1.675, 1, 0
12, 0, 0.996, 1, 0
12, 0, 1.484, 1, 0
12, 1, 1.492, 0, 0
12, 0, 1.682, 0, 0
12, 1, 999.000, 0, 1
12, 1, 0.000, 1, 0
12, 1, 999.000, 0, 1
