runcode,subjs,sex,race,RTs,K
23887,1,m,asian,0.268098009,0.254094509
23888,2,f,caucasian,0.810172169,1.020759642
23889,3,m,caucasian,0.625571896,2.882098384
23890,4,f,asian,0.892728997,1.024061063
23891,5,m,caucasian,0.495699967,2.093723467
23892,6,f,caucasian,0.117297124,1.01241917
23893,7,f,caucasian,0.964358434,2.904389523
23894,8,m,caucasian,0.131784525,1.922144456
23895,9,f,asian,0.529799534,2.359120253
23896,10,f,asian,0.917708702,2.088641096
23897,11,m,asian,0.245589878,1.693145805
23898,12,f,asian,0.815274396,1.072074162
23899,13,m,caucasian,0.350466139,3.813034549
23900,14,m,caucasian,0.000589528,2.791595201
23901,15,f,asian,0.960922329,0.064457954
23902,16,m,asian,0.111475667,4.186431355
23903,17,f,asian,0.307024754,3.112951261
23904,18,m,caucasian,0.641816839,4.045537278
